Customer_ID,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
48667,1,43,Developer,14129.76,1012.48,8,5,21,8,62,17.0,4071.62,36.13729240094063,151.0,Yes,81.71265500803955,124.44592027470156,Low_spent_Small_value_payments,185.0894247172589,Poor
16219,1,25,Doctor,80108.31,6866.6925,5,3,17,0,25,19.0,997.28,38.73267645522611,211.0,Yes,0.0,107.06565251713594,Low_spent_Small_value_payments,829.6035974828641,Standard
18395,1,16,Musician,78988.48,6449.373333333332,9,5,29,7,27,17.0,1746.9,34.70500518081173,121.0,Yes,291.78276034215287,88.07126673833417,High_spent_Medium_value_payments,515.0833062528462,Poor
36631,1,45,Journalist,41746.76,3651.896666666667,8,5,5261,3,62,21.0,1936.79,37.70526076095658,229.0,Yes,102.28339754384292,425.1038221947088,Low_spent_Small_value_payments,127.802446928115,Poor
40816,1,45,Entrepreneur,118248.6,10115.05,5,1,4,0,13,10.0,191.09,29.14953014605081,205.0,NM,0.0,227.6187415383298,High_spent_Large_value_payments,1023.8862584616704,Good
43894,1,26,Scientist,60162.1,5197.508333333333,5,7,5,7,18,10.0,1037.45,36.35924551524061,158.0,Yes,220.2137267039484,80.01264638361248,High_spent_Medium_value_payments,469.5244602457725,Standard
23775,1,17,Musician,75273.24,6552.77,8,943,32,5,50,9.0,2497.34,33.594825065525875,62.0,NM,222.6190561215212,124.6322882481766,High_spent_Large_value_payments,548.0256556303023,Standard
8580,1,18,Media_Manager,54820.89,4295.4075,8,7,28,6,36,20.0,4795.13,35.802489136096455,35.0,Yes,169.48198431622052,479.5857747498436,Low_spent_Small_value_payments,70.47299093393599,Standard
41302,1,42,Entrepreneur,58674.66,4824.555,8,5,15,4,57,23.0,2425.38,37.340891999840935,157.0,Yes,116.10341691461672,121.37983046452118,Low_spent_Small_value_payments,484.9722526208622,Poor
29938,1,30,Architect,30390.44,2721.5366666666664,5,6,5,4,19,20.0,580.31,26.97596094691765,291.0,No,64.84803820501804,10000.0,High_spent_Medium_value_payments,407.29362817352256,Standard
12427,1,42,Doctor,45207.54,3507.295,8,8,24,6,21,20.0,2497.48,26.6317197420342,196.0,Yes,148.91327341500903,39.83022939385767,Low_spent_Small_value_payments,401.9859971911333,Poor
10279,1,-500,Scientist,144546.72,11809.56,0,3,7,2,15,7.0,1045.11,40.84068721130881,275.0,No,136.9885566187904,573.4115904774258,High_spent_Small_value_payments,730.5558529037837,Standard
41621,1,38,Engineer,30346.35,2651.8625,5,4,14,7,27,9.0,523.56,28.21235655923923,100.0,Yes,96.72128021256924,145.10837488507798,Low_spent_Small_value_payments,313.35659490235275,Standard
27694,1,46,Mechanic,18681.465,1584.78875,2,3,9,2,6,8.0,327.88,27.531342922886093,369.0,No,24.8214249786604,52.09642061214282,Low_spent_Small_value_payments,351.56102940919675,Standard
27835,1,35,Media_Manager,72330.98,6300.581666666666,0,262,11,1,1,7.0,596.78,31.873841746849948,392.0,No,31.37979415843871,390.5462005003155,Low_spent_Medium_value_payments,488.1321720079125,Good
13995,1,1032,Teacher,43241.49,3580.4575,10,7,30,6,36,17.0,2174.16,39.78232873796411,146.0,Yes,162.23896307011998,410.19024914620064,Low_spent_Small_value_payments,75.61653778367943,Standard
26710,1,24,Teacher,129067.59,10795.6325,1,3,1,4,9,5.0,137.15,24.49869172989603,319.0,No,389.3056724525229,215.21748793274503,High_spent_Large_value_payments,715.0400896147321,Good
28685,1,21,Accountant,44719.17,3969.5975,6,6,29,7,41,19.0,3818.57,30.98237347875773,155.0,Yes,248.599885855438,130.25122507434963,High_spent_Medium_value_payments,268.1086390702124,Poor
30944,1,47,Accountant,17787.34,1242.2783333333334,8,4,16,2,0,15.0,730.9,26.99358623184505,357.0,No,20.06363388435491,42.298588028682495,High_spent_Small_value_payments,321.865611420296,Standard
3628,1,38,Journalist,31021.24,2756.103333333333,7,7,11,4,16,21.0,852.81,31.194398646221146,394.0,No,90.7591784649516,68.51358027398932,High_spent_Medium_value_payments,366.3375745943925,Standard
14011,1,36,Journalist,134978.24,11059.186666666665,8,5,15,2,9,16.0,668.14,36.59328466892722,314.0,NM,145.11182338766034,834.1444378722018,Low_spent_Medium_value_payments,406.66240540680434,Standard
42879,1,28,Writer,39800.12,3047.6766666666667,7,5,12,3,17,18.0,660.69,24.79435666515453,213.0,Yes,58.48765733950958,404.21822446877366,Low_spent_Small_value_payments,132.06178485838342,Standard
41781,1,21,Architect,66105.4,5653.783333333333,6,8,31,5,26,22.0,1549.56,30.111040314509125,134.0,Yes,214.07212305606225,180.14684869734245,High_spent_Small_value_payments,431.1593615799287,Standard
29152,1,28,Mechanic,15398.95,1548.2458333333334,1,7,5,4,1,2.0,343.84,36.74315458116916,339.0,No,34.81396985624466,81.67810682135054,High_spent_Small_value_payments,298.33250665573814,Standard
19184,1,18,Developer,27070.07,2518.839166666666,7,3,11,4,12,15.0,919.76,28.555850410033027,350.0,No,73.23331847935155,76.31458794990105,High_spent_Small_value_payments,362.336010237414,Standard
14433,1,53,Engineer,17992.775,4199.465763386277,3,5,6,-100,5,9.0,565.22,22.380398869829754,227.0,No,0.0,88.44275346564012,Low_spent_Small_value_payments,348.49703820102656,Poor
9229,1,55,Musician,139354.48,4199.465763386277,3,1247,18,0,17,18.0,519.3,32.7110284040027,239.0,No,0.0,382.2110718661232,High_spent_Medium_value_payments,1031.0762614672103,Standard
9626,1,25,Journalist,27865.26,4199.465763386277,4,3,6,1,22,18.0,635.59,27.14233425808085,364.0,Yes,17.69844332156168,213.43960097610943,Low_spent_Small_value_payments,319.4724557023289,Standard
10421,1,36,Architect,23404.86,1899.405,6,5,7,0,14,17.0,35.54,34.05823767057504,343.0,Yes,0.0,84.46263178711256,Low_spent_Large_value_payments,375.47786821288736,Standard
4821,1,28,Scientist,62320.56,5068.38,9,9,18,5,26,15.0,3589.56,32.02053669516868,16.0,Yes,171.34555972446432,179.65030626450252,High_spent_Medium_value_payments,405.8421340110332,Standard
16132,1,25,Manager,43758.34,3454.528333333333,5,6,12,2,9,2.0,1194.28,29.317896659805555,397.0,No,56.31142051341512,229.2590695740992,High_spent_Small_value_payments,319.8823432458192,Good
25286,1,20,Writer,144881.68,11877.473333333332,3,4,15,4,6,13.0,404.51,33.90967514560081,309.0,Yes,414.65601320398537,10000.0,High_spent_Large_value_payments,738.2518345151111,Standard
14733,1,38,Media_Manager,108147.3,8926.275,3,6,6,4,14,20.0,1113.06,36.423766643057526,345.0,Yes,211.1795815692456,328.48004275460164,High_spent_Small_value_payments,612.9678756761531,Standard
24971,1,27,Lawyer,17759.1,1533.925,6,8,19,5,20,20.0,3598.39,27.228568017436587,57.0,Yes,64.55062048800421,190.0547611675572,Low_spent_Small_value_payments,188.7871183444385,Standard
29264,1,37,Teacher,85328.73,6858.7275,3,4,11,1,11,17.0,585.05,28.02456084846908,379.0,No,68.4589661120162,145.09078436691792,Low_spent_Small_value_payments,712.3229995210659,Good
25653,1,26,Writer,134321.44,11064.453333333331,3,5,12,4,26,19.0,1428.68,26.75528645840011,392.0,Yes,253.68824370309892,715.7040604932922,Low_spent_Medium_value_payments,417.0530291369421,Standard
46765,1,24,Lawyer,61008.0,5235.0,10,5,32,4,16,19.0,1755.81,27.373242163951424,105.0,Yes,189.4265306646308,218.2076697051532,High_spent_Medium_value_payments,365.865799630216,Poor
30840,1,19,Developer,28665.76,2582.813333333333,7,3,5,1,14,10.0,1237.46,36.639699298304585,291.0,No,22.68817757992469,340.9908375742304,Low_spent_Small_value_payments,184.60231817917816,Standard
13749,1,18,Lawyer,56803.71,4620.6425,7,5,25,6,51,26.0,2593.44,29.75653235722221,69.0,Yes,187.190218862138,10000.0,Low_spent_Small_value_payments,243.09427312040643,Standard
7177,1,21,Lawyer,66528.24,4199.465763386277,5,5,5189,0,17,9.0,1460.8,26.42518128227474,268.0,Yes,0.0,139.57456070445244,High_spent_Large_value_payments,673.7274392955476,Standard
11277,1,55,Doctor,19403.405,1904.9504166666663,1,7,3,3,13,9.0,339.11,31.229306847484608,196.0,No,39.2149144347618,52.12810761980296,High_spent_Medium_value_payments,349.1520196121019,Standard
36979,1,19,Journalist,31122.79,2761.5658333333336,7,5,12,0,28,20.0,358.6,30.79484744739084,273.0,No,0.0,220.5130602079842,Low_spent_Large_value_payments,325.6435231253492,Standard
10259,1,19,other,15015.4,1213.2833333333333,5,5,9,1,23,9.0,330.17,33.27002451431646,259.0,No,11.685734566072789,92.11412377952726,Low_spent_Small_value_payments,307.52847498773326,Poor
44179,1,34,Engineer,19777.05,1728.0875,5,3,3,3,19,3.0,186.16,38.41845962965567,259.0,No,29.045533320072103,10000.0,High_spent_Small_value_payments,357.4905567198146,Poor
35945,1,24,Musician,20188.02,1851.335,4,3,6,3,10,5.0,399.92,28.54258478328452,242.0,No,25.58028081581637,147.63621347336863,Low_spent_Large_value_payments,281.91700571081503,Standard
30086,1,31,Engineer,55151.04,4199.465763386277,10,6,23,6,31,17.0,1743.83,30.30098552785213,146.0,Yes,171.82306738090188,262.83729212987333,Low_spent_Medium_value_payments,315.83164048922487,Poor
40039,1,39,Manager,30536.62,2430.718333333333,6,6,7,2,19,7.0,687.87,31.022658667241192,184.0,Yes,42.97244101951375,96.72899419598096,High_spent_Medium_value_payments,353.3703981178386,Standard
31919,1,3169,Architect,147499.6,12353.633333333331,2,2,12,2,14,3.0,1250.67,42.25298015327388,243.0,No,192.2064832741598,10000.0,High_spent_Small_value_payments,1041.0774830778255,Standard
41719,1,42,Architect,20005.22,1683.101666666667,8,3,6,4,22,20.0,1859.45,38.05357747176573,149.0,Yes,59.51321413246297,219.6562014744781,Low_spent_Small_value_payments,179.14075105972557,Standard
24087,1,32,other,19795.52,1662.6266666666668,6,9,34,8,15,21.0,3135.02,37.8207562097495,27.0,Yes,130.47547071749042,77.06641227007594,Low_spent_Small_value_payments,248.7207836791003,Standard
4744,1,33,Doctor,60938.13,5163.1775,10,8,31,8,24,18.0,3947.24,21.74488350172792,58.0,Yes,378.304673376643,166.48767607357289,High_spent_Small_value_payments,231.5254005497842,Poor
22139,1,54,Manager,80396.86,6623.738333333334,5,7,9,0,8,11.0,1357.54,34.92686537493276,317.0,No,0.0,266.013045204628,High_spent_Medium_value_payments,646.3607881287055,Good
9061,1,42,other,57610.32,4199.465763386277,8,10,25,9,41,23.0,4428.64,40.45753769650093,17.0,NM,256.2341792269896,10000.0,Low_spent_Medium_value_payments,53.75438369984539,Poor
35332,1,36,other,18717.02,1294.7516666666668,8,5,15,5,14,20.0,2103.99,32.72190460900136,184.0,Yes,60.64699329311761,172.28316529161307,Low_spent_Small_value_payments,186.545008081936,Poor
24597,1,-500,Journalist,19163.22,1346.9350000000004,3,7,7,2,23,18.0,2226.37,38.08096368598997,194.0,Yes,24.17564764974174,15.206733513024965,High_spent_Medium_value_payments,345.31111883723327,Standard
8678,1,48,Media_Manager,94554.87,4199.465763386277,2,6,2,0,9,0.0,1487.9,27.61540225190567,265.0,No,0.0,626.3090099805695,Low_spent_Small_value_payments,455.1482400194304,Good
43430,1,27,Musician,63536.98,5382.748333333334,4,5,12,2,29,14.0,89.62,34.95044798544689,369.0,Yes,69.10085253082353,517.0200746737141,Low_spent_Small_value_payments,242.1539061287957,Standard
16319,1,14,Accountant,27796.42,2300.3683333333333,6,5,16,2,18,14.0,1073.94,41.02732543348296,325.0,Yes,36.06763128414976,128.21619016797754,High_spent_Small_value_payments,325.753011881206,Standard
38204,1,29,Engineer,132872.72,11203.726666666667,3,3,10,2,11,7.0,89.68,33.451349375902204,332.0,No,27228.0,353.1228639995384,High_spent_Small_value_payments,882.4191203287136,Good
19114,1,41,Architect,140014.36,4199.465763386277,3,7,18,4,23,8.0,1151.7,34.92454850941926,205.0,NM,348.6203964507333,423.6241662413102,High_spent_Medium_value_payments,644.0417706412898,Standard
10567,1,47,Accountant,37071.2,3006.2666666666664,1,6,6,4,17,2672.0,869.99,34.98833625473729,220.0,No,74.69027138495908,386.89956133883805,Low_spent_Small_value_payments,129.03683394286952,Good
12512,1,20,Entrepreneur,41735.55,3357.9625,0,3,8,4,19,6.0,1480.92,32.503284267529445,292.0,No,109.61414671334232,98.89486393241624,High_spent_Small_value_payments,387.2872393542415,Standard
50103,1,38,Architect,40391.66,4199.465763386277,10,7,18,3,35,23.0,1950.62,38.395779801006405,95.0,Yes,60.370828399887685,270.6282466524589,Low_spent_Medium_value_payments,284.79809161432013,Poor
7835,1,18,Writer,7441.295,873.1079166666667,5,8,33,6,17,16.0,2569.3,30.21890537998302,67.0,Yes,71268.0,96.3072436412694,Low_spent_Small_value_payments,255.58480480515635,Poor
15240,1,40,Scientist,19065.32,1497.7766666666666,3,6,5,5,23,14.0,2008.06,29.44953193902064,199.0,Yes,76.21247400832009,63.52147976988476,Low_spent_Medium_value_payments,290.0437128884618,Standard
44625,1,46,Entrepreneur,24585.55,2316.795833333333,3,4,14,2,9,14.0,195.38,30.63404462673011,321.0,Yes,30.447776935964107,43.2662430770333,High_spent_Large_value_payments,397.965563320336,Standard
47087,1,26,other,15013.73,1127.1441666666667,7,4,14,6,23,12.0,1403.17,31.796689606260543,141.0,Yes,51.547924156742056,75.20945228513598,Low_spent_Small_value_payments,265.9570402247887,Standard
45704,1,43,Journalist,126006.68,4199.465763386277,4,3,2127,3,13,12.0,385.8,22.989722164027448,311.0,Yes,239.7673292742656,1069.389909917204,Low_spent_Medium_value_payments,40.19842747519692,Standard
31266,1,49,Developer,102885.32,8643.776666666667,3,5,16,1,11,13.0,605.34,22.3936794206414,346.0,Yes,74.1586635323227,857.7632223732379,Low_spent_Small_value_payments,222.4557807611061,Standard
38037,1,38,Teacher,34212.01,2847.000833333333,6,5,10,3,21,9.0,512.38,29.746346625274604,335.0,No,66.6764133130149,270.2397718355112,Low_spent_Small_value_payments,237.78389818480733,Standard
25841,1,26,Entrepreneur,118487.16,9810.93,8,4,20,4,17,20.0,140.26,33.66718197569836,376.0,No,301.5608682455748,354.2155580510482,Low_spent_Small_value_payments,595.3165737033771,Standard
49609,1,45,Architect,24199.24,4199.465763386277,3,7,6,1,26,14.0,784.35,36.687086260397294,253.0,No,13.886305431201704,22.73334864045816,High_spent_Large_value_payments,398.5406792616735,Good
35112,1,31,Manager,16578.115,1426.5095833333337,3,5,15,2,10,16.0,1054.86,34.12223746326529,273.0,Yes,21.42597208431386,25.856414547455763,High_spent_Medium_value_payments,345.3685717015637,Standard
26671,1,20,Writer,74647.4,6327.616666666666,6,5,20,6,52,17.0,4167.43,26.03835259956693,159.0,Yes,309.5754020995854,142.36149897540682,High_spent_Large_value_payments,420.8247655916745,Standard
18481,1,43,Mechanic,34766.06,3133.171666666666,0,1,11,3,6,4.0,1374.23,32.026208704403764,190.0,No,78.09310673608609,339.1781647504636,Low_spent_Small_value_payments,186.04589518011704,Good
42315,1,27,Media_Manager,91690.53,4199.465763386277,2,6,3325,2,6,9.0,1295.18,27.35397852929807,371.0,No,130.85085776482154,254.86996011482745,High_spent_Medium_value_payments,643.8669321203511,Standard
22090,1,36,Entrepreneur,30502.54,4199.465763386277,8,7,24,7,26,21.0,1672.68,37.25100052216536,173.0,Yes,154.3933582633662,43.839912122027854,High_spent_Large_value_payments,301.3545629479393,Poor
45056,1,20,Media_Manager,30272.61,2258.7175,3,3,15,1,30,8.0,180.94,35.627268931590464,190.0,Yes,17.975850989790292,128.35344939640535,Low_spent_Small_value_payments,369.5424496138044,Standard
9604,1,31,Accountant,59971.42,4199.465763386277,8,5,6,3,11,20.0,203.03,39.58066954983017,242.0,No,107.93724129573393,217.69306331999687,Low_spent_Large_value_payments,463.4315287176024,Standard
23103,1,32,Accountant,42220.39,3490.3658333333333,1,4,1,-100,9,9.0,257.81,25.56459705167188,268.0,NM,135.2703961897122,93.31106008777203,High_spent_Small_value_payments,380.4551270558492,Standard
49985,1,51,Architect,43581.13,3566.7608333333333,4,3,4595,3,14,2.0,900.83,37.275911605390895,277.0,No,103.03307766103524,120.20387898227423,Low_spent_Medium_value_payments,413.4391266900238,Good
6806,1,49,other,28681.38,4199.465763386277,3,5,2,0,2,5.0,467.64,26.211333231948856,227.0,No,0.0,189.6885180441536,Low_spent_Medium_value_payments,303.02298195584643,Good
47009,1,33,Doctor,35376.32,4199.465763386277,8,3,19,3,12,17.0,1166.47,34.784172452245784,218.0,Yes,58.2166703210756,57.835489532555066,High_spent_Medium_value_payments,405.650506813036,Standard
12757,1,48,Doctor,15488.885,1273.7404166666668,0,4,4,0,9,3.0,1287.59,27.65170150543164,302.0,No,0.0,10000.0,Low_spent_Small_value_payments,251.6506321688882,Standard
17911,1,26,Entrepreneur,19853.35,1726.4458333333332,7,4,6,2,21,17.0,816.46,33.829297189495314,226.0,No,28.071965473150293,10000.0,Low_spent_Medium_value_payments,369.6677237480782,Standard
26135,1,32,Writer,115643.01,9910.9175,3,7,2,3,18,1.0,951.36,27.56800421480525,215.0,No,195.39400914592807,414.0255925351669,High_spent_Small_value_payments,641.6721483189049,Poor
23424,1,44,Journalist,7512.225,513.0187500000002,7,7,14,5,6,19.0,540.07,27.513009725544062,97.0,Yes,20.686107686895213,32.37729897620768,Low_spent_Small_value_payments,288.23846833689714,Standard
42312,1,15,Mechanic,35161.46,2930.1216666666664,10,8,32,6,61,24.0,4445.32,31.042511899611803,95.0,Yes,113.39108418671375,123.58542603450276,Low_spent_Small_value_payments,346.03565644545023,Poor
47594,1,33,Writer,9133.045,4199.465763386277,6,7,34,6,56,16.0,3035.88,41.34692749406504,107.0,Yes,30.20103247533153,26.308159840519448,Low_spent_Small_value_payments,311.1995160174824,Standard
21696,1,22,Entrepreneur,19283.47,1886.9558333333327,10,8,34,9,38,15.0,4404.48,26.51448318313961,68.0,Yes,84.6164317306805,87.58752722041406,Low_spent_Small_value_payments,306.4916243822388,Standard
9611,1,23,Scientist,66502.76,4199.465763386277,0,6,1,2,29,7.0,276.91,40.27395345302536,224.0,No,80.100174314101,82.10389005187113,High_spent_Medium_value_payments,625.7856023006947,Poor
19380,1,33,Media_Manager,9444.795,850.06625,7,8,28,6,21,11.0,1701.58,38.488310777988666,64.0,Yes,27.59495029732186,92.59222788607364,Low_spent_Small_value_payments,254.8194468166045,Standard
36469,1,-500,Doctor,70112.78,5989.731666666668,1,7,3,2,5,3.0,877.06,36.976515807853495,298.0,No,69.71794787486095,433.1852677507434,Low_spent_Medium_value_payments,376.06995104106215,Poor
16424,1,36,other,68935.26,5518.605,1,5,8,3,18,6.0,457.81,23.06996228225421,304.0,No,68265.0,208.5060891369445,High_spent_Medium_value_payments,490.5581022140402,Good
36280,1,42,Doctor,31807.0,4199.465763386277,8,3,14,2,21,8.0,611.04,24.10101884464528,241.0,Yes,35.55369086237439,195.28400711845305,Low_spent_Small_value_payments,332.52063535250585,Standard
7779,1,36,Musician,10025.2,1089.4333333333334,10,10,21,7,23,14.0,1409.58,36.61446866267692,183.0,Yes,41.43157633631988,141.3578696513393,Low_spent_Small_value_payments,216.1538873456741,Poor
50043,1,29,Teacher,9783.245,4199.465763386277,8,6,29,8,45,19.0,1684.06,32.48217556176973,221.0,Yes,52.83913367020968,94.75302404819568,Low_spent_Small_value_payments,233.2348839482613,Poor
4044,1,22,Accountant,86522.72,7098.2266666666665,8,5,13,1,17,10.0,455.22,39.76005143512123,332.0,Yes,45.2646813787989,95.86465456065368,High_spent_Large_value_payments,808.6933307272142,Standard
25806,1,21,Lawyer,124419.66,10221.305,3,4,11,4,13,9.0,923.85,32.05791073884322,383.0,No,344.18153557232336,338.64743982080387,High_spent_Medium_value_payments,589.3015246068728,Standard
38260,1,50,Entrepreneur,15606.515,1234.5429166666663,3,4,6,4,8,1.0,257.85,30.061262796232825,395.0,No,34706.0,11.912535825073387,High_spent_Large_value_payments,315.9153832989802,Poor
